UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet,datetime
1472735105,9/1/2016 12:00:00 AM,03:05:05,1.94,51,30.4,103,87.85,4.5,06:07:00,18:38:00,2016-09-01 13:05:05
1472735406,9/1/2016 12:00:00 AM,03:10:06,2.03,51,30.4,103,77.73,7.87,06:07:00,18:38:00,2016-09-01 13:10:06
1472735706,9/1/2016 12:00:00 AM,03:15:06,2.26,51,30.4,103,90.87,1.12,06:07:00,18:38:00,2016-09-01 13:15:06
1472736008,9/1/2016 12:00:00 AM,03:20:08,2.27,51,30.4,103,78.56,9.0,06:07:00,18:38:00,2016-09-01 13:20:08
1472736312,9/1/2016 12:00:00 AM,03:25:12,2.63,51,30.4,103,69.28,2.25,06:07:00,18:38:00,2016-09-01 13:25:12
1472736605,9/1/2016 12:00:00 AM,03:30:05,2.93,51,30.4,103,78.66,4.5,06:07:00,18:38:00,2016-09-01 13:30:05
1472736907,9/1/2016 12:00:00 AM,03:35:07,2.59,51,30.4,103,51.52,5.62,06:07:00,18:38:00,2016-09-01 13:35:07
1472737208,9/1/2016 12:00:00 AM,03:40:08,2.83,51,30.4,102,97.24,6.75,06:07:00,18:38:00,2016-09-01 13:40:08
1472737507,9/1/2016 12:00:00 AM,03:45:07,2.17,51,30.4,102,80.72,6.75,06:07:00,18:38:00,2016-09-01 13:45:07
1472737804,9/1/2016 12:00:00 AM,03:50:04,2.12,50,30.4,102,101.26,9.0,06:07:00,18:38:00,2016-09-01 13:50:04
1472738112,9/1/2016 12:00:00 AM,03:55:12,2.02,50,30.4,102,168.14,3.37,06:07:00,18:38:00,2016-09-01 13:55:12
1472738404,9/1/2016 12:00:00 AM,04:00:04,1.69,50,30.4,102,130.43,10.12,06:07:00,18:38:00,2016-09-01 14:00:04
1472738707,9/1/2016 12:00:00 AM,04:05:07,2.03,49,30.4,102,145.36,7.87,06:07:00,18:38:00,2016-09-01 14:05:07
1472739003,9/1/2016 12:00:00 AM,04:10:03,3.35,49,30.4,102,67.42,7.87,06:07:00,18:38:00,2016-09-01 14:10:03
1472739304,9/1/2016 12:00:00 AM,04:15:04,2.34,49,30.41,102,133.75,9.0,06:07:00,18:38:00,2016-09-01 14:15:04
1472739604,9/1/2016 12:00:00 AM,04:20:04,2.2,49,30.41,102,112.54,9.0,06:07:00,18:38:00,2016-09-01 14:20:04
1472739903,9/1/2016 12:00:00 AM,04:25:03,2.63,49,30.41,102,125.24,12.37,06:07:00,18:38:00,2016-09-01 14:25:03
1472740203,9/1/2016 12:00:00 AM,04:30:03,3.2,49,30.41,102,150.52,5.62,06:07:00,18:38:00,2016-09-01 14:30:03
1472740504,9/1/2016 12:00:00 AM,04:35:04,2.85,49,30.41,102,121.97,6.75,06:07:00,18:38:00,2016-09-01 14:35:04
1472740807,9/1/2016 12:00:00 AM,04:40:07,2.38,49,30.41,102,132.09,6.75,06:07:00,18:38:00,2016-09-01 14:40:07
1472741108,9/1/2016 12:00:00 AM,04:45:08,2.67,49,30.41,102,94.79,1.12,06:07:00,18:38:00,2016-09-01 14:45:08
1472741407,9/1/2016 12:00:00 AM,04:50:07,3.22,49,30.41,102,80.05,2.25,06:07:00,18:38:00,2016-09-01 14:50:07
1472741705,9/1/2016 12:00:00 AM,04:55:05,2.73,49,30.41,102,123.83,16.87,06:07:00,18:38:00,2016-09-01 14:55:05
1472742011,9/1/2016 12:00:00 AM,05:00:11,1.61,49,30.42,102,155.32,3.37,06:07:00,18:38:00,2016-09-01 15:00:11
1472742305,9/1/2016 12:00:00 AM,05:05:05,1.85,50,30.41,102,159.86,7.87,06:07:00,18:38:00,2016-09-01 15:05:05
1472742609,9/1/2016 12:00:00 AM,05:10:09,1.71,50,30.41,102,127.27,10.12,06:07:00,18:38:00,2016-09-01 15:10:09
1472742906,9/1/2016 12:00:00 AM,05:15:06,1.76,50,30.41,102,172.87,9.0,06:07:00,18:38:00,2016-09-01 15:15:06
1472743205,9/1/2016 12:00:00 AM,05:20:05,1.73,49,30.41,102,143.95,11.25,06:07:00,18:38:00,2016-09-01 15:20:05
1472743504,9/1/2016 12:00:00 AM,05:25:04,1.71,49,30.41,102,164.16,9.0,06:07:00,18:38:00,2016-09-01 15:25:04
1472743807,9/1/2016 12:00:00 AM,05:30:07,1.71,49,30.41,101,152.03,11.25,06:07:00,18:38:00,2016-09-01 15:30:07
1472744405,9/1/2016 12:00:00 AM,05:40:05,2.02,48,30.41,92,118.18,3.37,06:07:00,18:38:00,2016-09-01 15:40:05
1472744705,9/1/2016 12:00:00 AM,05:45:05,1.87,48,30.42,86,120.92,9.0,06:07:00,18:38:00,2016-09-01 15:45:05
1472745012,9/1/2016 12:00:00 AM,05:50:12,1.72,48,30.41,80,131.69,10.12,06:07:00,18:38:00,2016-09-01 15:50:12
1472745607,9/1/2016 12:00:00 AM,06:00:07,4.43,49,30.41,76,169.53,6.75,06:07:00,18:38:00,2016-09-01 16:00:07
1472745907,9/1/2016 12:00:00 AM,06:05:07,8.3,48,30.41,76,156.43,10.12,06:07:00,18:38:00,2016-09-01 16:05:07
1472746210,9/1/2016 12:00:00 AM,06:10:10,9.09,48,30.41,72,130.7,4.5,06:07:00,18:38:00,2016-09-01 16:10:10
1472746506,9/1/2016 12:00:00 AM,06:15:06,11.28,49,30.41,73,157.94,6.75,06:07:00,18:38:00,2016-09-01 16:15:06
1472746810,9/1/2016 12:00:00 AM,06:20:10,13.64,49,30.41,73,150.24,13.5,06:07:00,18:38:00,2016-09-01 16:20:10
1472747107,9/1/2016 12:00:00 AM,06:25:07,18.71,49,30.41,71,164.95,4.5,06:07:00,18:38:00,2016-09-01 16:25:07
1472747709,9/1/2016 12:00:00 AM,06:35:09,27.94,50,30.42,76,92.89,7.87,06:07:00,18:38:00,2016-09-01 16:35:09
1472748008,9/1/2016 12:00:00 AM,06:40:08,43.99,49,30.42,82,161.38,11.25,06:07:00,18:38:00,2016-09-01 16:40:08
1472748308,9/1/2016 12:00:00 AM,06:45:08,53.19,49,30.42,90,92.24,5.62,06:07:00,18:38:00,2016-09-01 16:45:08
1472748608,9/1/2016 12:00:00 AM,06:50:08,43.18,49,30.42,90,106.62,11.25,06:07:00,18:38:00,2016-09-01 16:50:08
1472749206,9/1/2016 12:00:00 AM,07:00:06,51.8,49,30.42,78,151.26,12.37,06:07:00,18:38:00,2016-09-01 17:00:06
1472749506,9/1/2016 12:00:00 AM,07:05:06,63.75,50,30.42,76,112.56,6.75,06:07:00,18:38:00,2016-09-01 17:05:06
1472749809,9/1/2016 12:00:00 AM,07:10:09,62.49,50,30.42,78,158.97,13.5,06:07:00,18:38:00,2016-09-01 17:10:09
1472750105,9/1/2016 12:00:00 AM,07:15:05,87.65,50,30.43,78,153.19,9.0,06:07:00,18:38:00,2016-09-01 17:15:05
1472750405,9/1/2016 12:00:00 AM,07:20:05,92.24,50,30.43,81,104.53,3.37,06:07:00,18:38:00,2016-09-01 17:20:05
1472751305,9/1/2016 12:00:00 AM,07:35:05,155.07,50,30.43,92,97.22,2.25,06:07:00,18:38:00,2016-09-01 17:35:05
1472751605,9/1/2016 12:00:00 AM,07:40:05,242.53,51,30.44,94,57.78,6.75,06:07:00,18:38:00,2016-09-01 17:40:05
1472752207,9/1/2016 12:00:00 AM,07:50:07,146.12,51,30.44,95,21.02,2.25,06:07:00,18:38:00,2016-09-01 17:50:07
1472752505,9/1/2016 12:00:00 AM,07:55:05,183.46,51,30.44,96,123.96,5.62,06:07:00,18:38:00,2016-09-01 17:55:05
1472753404,9/1/2016 12:00:00 AM,08:10:04,406.11,51,30.45,99,141.67,4.5,06:07:00,18:38:00,2016-09-01 18:10:04
1472753706,9/1/2016 12:00:00 AM,08:15:06,449.0,52,30.45,93,119.67,13.5,06:07:00,18:38:00,2016-09-01 18:15:06
1472754007,9/1/2016 12:00:00 AM,08:20:07,555.78,53,30.45,82,107.81,12.37,06:07:00,18:38:00,2016-09-01 18:20:07
1472754304,9/1/2016 12:00:00 AM,08:25:04,587.37,53,30.45,78,204.79,3.37,06:07:00,18:38:00,2016-09-01 18:25:04
1472754605,9/1/2016 12:00:00 AM,08:30:05,386.25,54,30.45,74,34.72,4.5,06:07:00,18:38:00,2016-09-01 18:30:05
1472754906,9/1/2016 12:00:00 AM,08:35:06,633.24,53,30.45,72,133.06,10.12,06:07:00,18:38:00,2016-09-01 18:35:06
1472755209,9/1/2016 12:00:00 AM,08:40:09,234.56,54,30.45,73,27.41,7.87,06:07:00,18:38:00,2016-09-01 18:40:09
1472755808,9/1/2016 12:00:00 AM,08:50:08,462.71,53,30.45,75,170.1,3.37,06:07:00,18:38:00,2016-09-01 18:50:08
1472756411,9/1/2016 12:00:00 AM,09:00:11,786.81,54,30.46,69,105.07,9.0,06:07:00,18:38:00,2016-09-01 19:00:11
1472756708,9/1/2016 12:00:00 AM,09:05:08,708.67,55,30.46,69,76.68,5.62,06:07:00,18:38:00,2016-09-01 19:05:08
1472757007,9/1/2016 12:00:00 AM,09:10:07,398.94,54,30.46,81,48.17,3.37,06:07:00,18:38:00,2016-09-01 19:10:07
1472757305,9/1/2016 12:00:00 AM,09:15:05,793.15,54,30.46,78,181.52,12.37,06:07:00,18:38:00,2016-09-01 19:15:05
1472757608,9/1/2016 12:00:00 AM,09:20:08,838.66,54,30.46,85,93.05,9.0,06:07:00,18:38:00,2016-09-01 19:20:08
1472757909,9/1/2016 12:00:00 AM,09:25:09,724.35,55,30.46,72,151.48,3.37,06:07:00,18:38:00,2016-09-01 19:25:09
1472758207,9/1/2016 12:00:00 AM,09:30:07,831.38,56,30.46,71,125.63,6.75,06:07:00,18:38:00,2016-09-01 19:30:07
1472758511,9/1/2016 12:00:00 AM,09:35:11,725.35,56,30.46,69,44.53,5.62,06:07:00,18:38:00,2016-09-01 19:35:11
1472758808,9/1/2016 12:00:00 AM,09:40:08,794.6,56,30.46,71,130.75,12.37,06:07:00,18:38:00,2016-09-01 19:40:08
1472759707,9/1/2016 12:00:00 AM,09:55:07,899.06,57,30.47,76,109.5,7.87,06:07:00,18:38:00,2016-09-01 19:55:07
1472760007,9/1/2016 12:00:00 AM,10:00:07,928.27,57,30.47,77,37.85,4.5,06:07:00,18:38:00,2016-09-01 20:00:07
1472760309,9/1/2016 12:00:00 AM,10:05:09,999.94,57,30.47,76,80.8,9.0,06:07:00,18:38:00,2016-09-01 20:05:09
1472760606,9/1/2016 12:00:00 AM,10:10:06,916.47,57,30.47,76,71.14,4.5,06:07:00,18:38:00,2016-09-01 20:10:06
1472760905,9/1/2016 12:00:00 AM,10:15:05,986.69,58,30.47,73,140.16,13.5,06:07:00,18:38:00,2016-09-01 20:15:05
1472761208,9/1/2016 12:00:00 AM,10:20:08,486.31,58,30.47,70,177.82,7.87,06:07:00,18:38:00,2016-09-01 20:20:08
1472762108,9/1/2016 12:00:00 AM,10:35:08,1073.71,58,30.47,74,335.52,5.62,06:07:00,18:38:00,2016-09-01 20:35:08
1472762409,9/1/2016 12:00:00 AM,10:40:09,1027.63,58,30.47,74,166.72,4.5,06:07:00,18:38:00,2016-09-01 20:40:09
1472762704,9/1/2016 12:00:00 AM,10:45:04,1006.1,58,30.47,73,72.66,7.87,06:07:00,18:38:00,2016-09-01 20:45:04
1472763003,9/1/2016 12:00:00 AM,10:50:03,1012.53,59,30.47,78,134.81,5.62,06:07:00,18:38:00,2016-09-01 20:50:03
1472763306,9/1/2016 12:00:00 AM,10:55:06,1008.46,59,30.47,74,85.75,6.75,06:07:00,18:38:00,2016-09-01 20:55:06
1472763606,9/1/2016 12:00:00 AM,11:00:06,1013.32,59,30.47,71,46.61,16.87,06:07:00,18:38:00,2016-09-01 21:00:06
1472764206,9/1/2016 12:00:00 AM,11:10:06,1009.88,58,30.47,77,68.09,7.87,06:07:00,18:38:00,2016-09-01 21:10:06
1472764807,9/1/2016 12:00:00 AM,11:20:07,978.36,58,30.46,76,89.95,11.25,06:07:00,18:38:00,2016-09-01 21:20:07
1472765108,9/1/2016 12:00:00 AM,11:25:08,952.03,58,30.46,77,46.19,14.62,06:07:00,18:38:00,2016-09-01 21:25:08
1472765405,9/1/2016 12:00:00 AM,11:30:05,974.1,59,30.46,73,110.8,7.87,06:07:00,18:38:00,2016-09-01 21:30:05
1472765709,9/1/2016 12:00:00 AM,11:35:09,1005.43,59,30.46,76,37.34,10.12,06:07:00,18:38:00,2016-09-01 21:35:09
1472766009,9/1/2016 12:00:00 AM,11:40:09,1000.96,59,30.46,71,31.44,11.25,06:07:00,18:38:00,2016-09-01 21:40:09
1472766605,9/1/2016 12:00:00 AM,11:50:05,1063.06,60,30.46,71,38.77,3.37,06:07:00,18:38:00,2016-09-01 21:50:05
1472766908,9/1/2016 12:00:00 AM,11:55:08,1061.27,60,30.46,72,89.07,7.87,06:07:00,18:38:00,2016-09-01 21:55:08
1472767210,9/1/2016 12:00:00 AM,12:00:10,1065.3,60,30.46,73,28.35,5.62,06:07:00,18:38:00,2016-09-01 22:00:10
1472767505,9/1/2016 12:00:00 AM,12:05:05,1070.12,60,30.46,69,62.41,5.62,06:07:00,18:38:00,2016-09-01 22:05:05
1472768109,9/1/2016 12:00:00 AM,12:15:09,1067.15,60,30.46,71,105.16,6.75,06:07:00,18:38:00,2016-09-01 22:15:09
1472768405,9/1/2016 12:00:00 AM,12:20:05,1072.24,60,30.45,68,38.74,11.25,06:07:00,18:38:00,2016-09-01 22:20:05
1472769007,9/1/2016 12:00:00 AM,12:30:07,1072.94,60,30.45,68,8.97,5.62,06:07:00,18:38:00,2016-09-01 22:30:07
1472769605,9/1/2016 12:00:00 AM,12:40:05,1073.43,60,30.45,60,63.24,11.25,06:07:00,18:38:00,2016-09-01 22:40:05
1472769906,9/1/2016 12:00:00 AM,12:45:06,1069.16,61,30.45,62,65.54,4.5,06:07:00,18:38:00,2016-09-01 22:45:06
1472770809,9/1/2016 12:00:00 AM,13:00:09,1059.15,61,30.45,64,101.98,10.12,06:07:00,18:38:00,2016-09-01 23:00:09
1472771107,9/1/2016 12:00:00 AM,13:05:07,1051.8,61,30.45,68,339.64,4.5,06:07:00,18:38:00,2016-09-01 23:05:07
1472771404,9/1/2016 12:00:00 AM,13:10:04,1058.61,61,30.44,61,96.98,5.62,06:07:00,18:38:00,2016-09-01 23:10:04
1472771707,9/1/2016 12:00:00 AM,13:15:07,1048.67,62,30.44,57,67.84,7.87,06:07:00,18:38:00,2016-09-01 23:15:07
1472772008,9/1/2016 12:00:00 AM,13:20:08,1039.12,62,30.44,65,238.47,3.37,06:07:00,18:38:00,2016-09-01 23:20:08
1472772304,9/1/2016 12:00:00 AM,13:25:04,1019.48,62,30.44,65,31.15,9.0,06:07:00,18:38:00,2016-09-01 23:25:04
1472772610,9/1/2016 12:00:00 AM,13:30:10,1018.59,61,30.44,66,47.08,6.75,06:07:00,18:38:00,2016-09-01 23:30:10
1472772910,9/1/2016 12:00:00 AM,13:35:10,998.96,62,30.44,62,29.13,10.12,06:07:00,18:38:00,2016-09-01 23:35:10
1472773207,9/1/2016 12:00:00 AM,13:40:07,1004.49,62,30.44,67,28.19,2.25,06:07:00,18:38:00,2016-09-01 23:40:07
1472773805,9/1/2016 12:00:00 AM,13:50:05,989.02,62,30.43,61,120.03,6.75,06:07:00,18:38:00,2016-09-01 23:50:05
1472774106,9/1/2016 12:00:00 AM,13:55:06,978.9,62,30.43,61,46.48,6.75,06:07:00,18:38:00,2016-09-01 23:55:06
1472774407,9/1/2016 12:00:00 AM,14:00:07,972.4,62,30.43,57,104.9,4.5,06:07:00,18:38:00,2016-09-02 00:00:07
1472774706,9/1/2016 12:00:00 AM,14:05:06,948.24,62,30.43,56,60.41,9.0,06:07:00,18:38:00,2016-09-02 00:05:06
1472775006,9/1/2016 12:00:00 AM,14:10:06,942.14,63,30.43,56,94.0,4.5,06:07:00,18:38:00,2016-09-02 00:10:06
1472775304,9/1/2016 12:00:00 AM,14:15:04,926.05,63,30.43,61,53.76,4.5,06:07:00,18:38:00,2016-09-02 00:15:04
1472775609,9/1/2016 12:00:00 AM,14:20:09,918.24,62,30.42,59,53.03,9.0,06:07:00,18:38:00,2016-09-02 00:20:09
1472775904,9/1/2016 12:00:00 AM,14:25:04,902.24,62,30.42,61,357.5,3.37,06:07:00,18:38:00,2016-09-02 00:25:04
1472776205,9/1/2016 12:00:00 AM,14:30:05,884.62,63,30.42,61,39.69,7.87,06:07:00,18:38:00,2016-09-02 00:30:05
1472776503,9/1/2016 12:00:00 AM,14:35:03,877.7,62,30.42,58,3.91,9.0,06:07:00,18:38:00,2016-09-02 00:35:03
1472776808,9/1/2016 12:00:00 AM,14:40:08,866.92,62,30.42,59,357.11,7.87,06:07:00,18:38:00,2016-09-02 00:40:08
1472777108,9/1/2016 12:00:00 AM,14:45:08,856.11,62,30.42,60,56.36,5.62,06:07:00,18:38:00,2016-09-02 00:45:08
1472777404,9/1/2016 12:00:00 AM,14:50:04,843.89,62,30.42,57,60.02,11.25,06:07:00,18:38:00,2016-09-02 00:50:04
1472778006,9/1/2016 12:00:00 AM,15:00:06,806.42,62,30.42,59,5.42,5.62,06:07:00,18:38:00,2016-09-02 01:00:06
1472778304,9/1/2016 12:00:00 AM,15:05:04,793.65,62,30.42,58,116.21,7.87,06:07:00,18:38:00,2016-09-02 01:05:04
1472778609,9/1/2016 12:00:00 AM,15:10:09,782.78,62,30.41,60,22.44,2.25,06:07:00,18:38:00,2016-09-02 01:10:09
1472778907,9/1/2016 12:00:00 AM,15:15:07,773.13,63,30.41,63,92.76,11.25,06:07:00,18:38:00,2016-09-02 01:15:07
1472779205,9/1/2016 12:00:00 AM,15:20:05,760.63,62,30.41,55,115.26,9.0,06:07:00,18:38:00,2016-09-02 01:20:05
1472779507,9/1/2016 12:00:00 AM,15:25:07,739.28,62,30.41,58,1.89,11.25,06:07:00,18:38:00,2016-09-02 01:25:07
1472779810,9/1/2016 12:00:00 AM,15:30:10,725.79,62,30.41,56,76.66,2.25,06:07:00,18:38:00,2016-09-02 01:30:10
1472780403,9/1/2016 12:00:00 AM,15:40:03,689.85,63,30.42,60,329.36,5.62,06:07:00,18:38:00,2016-09-02 01:40:03
1472780707,9/1/2016 12:00:00 AM,15:45:07,669.48,63,30.41,58,46.06,10.12,06:07:00,18:38:00,2016-09-02 01:45:07
1472781308,9/1/2016 12:00:00 AM,15:55:08,628.8,63,30.42,58,1.55,6.75,06:07:00,18:38:00,2016-09-02 01:55:08
1472781606,9/1/2016 12:00:00 AM,16:00:06,596.57,62,30.42,56,81.7,5.62,06:07:00,18:38:00,2016-09-02 02:00:06
1472781907,9/1/2016 12:00:00 AM,16:05:07,577.1,62,30.42,57,53.61,7.87,06:07:00,18:38:00,2016-09-02 02:05:07
1472782211,9/1/2016 12:00:00 AM,16:10:11,573.13,62,30.42,58,14.04,3.37,06:07:00,18:38:00,2016-09-02 02:10:11
1472782508,9/1/2016 12:00:00 AM,16:15:08,564.1,62,30.42,58,49.52,6.75,06:07:00,18:38:00,2016-09-02 02:15:08
1472782803,9/1/2016 12:00:00 AM,16:20:03,536.66,62,30.42,57,30.91,4.5,06:07:00,18:38:00,2016-09-02 02:20:03
1472783106,9/1/2016 12:00:00 AM,16:25:06,497.13,63,30.42,50,79.57,5.62,06:07:00,18:38:00,2016-09-02 02:25:06
1472783407,9/1/2016 12:00:00 AM,16:30:07,487.99,63,30.42,53,79.61,12.37,06:07:00,18:38:00,2016-09-02 02:30:07
1472783703,9/1/2016 12:00:00 AM,16:35:03,409.4,62,30.42,53,98.89,7.87,06:07:00,18:38:00,2016-09-02 02:35:03
1472784010,9/1/2016 12:00:00 AM,16:40:10,457.65,62,30.42,52,78.89,11.25,06:07:00,18:38:00,2016-09-02 02:40:10
1472784304,9/1/2016 12:00:00 AM,16:45:04,394.97,62,30.43,52,99.17,6.75,06:07:00,18:38:00,2016-09-02 02:45:04
1472784607,9/1/2016 12:00:00 AM,16:50:07,391.31,62,30.43,52,158.17,4.5,06:07:00,18:38:00,2016-09-02 02:50:07
1472784905,9/1/2016 12:00:00 AM,16:55:05,419.82,62,30.43,53,101.72,7.87,06:07:00,18:38:00,2016-09-02 02:55:05
1472785204,9/1/2016 12:00:00 AM,17:00:04,295.09,62,30.43,54,133.77,5.62,06:07:00,18:38:00,2016-09-02 03:00:04
1472785508,9/1/2016 12:00:00 AM,17:05:08,135.35,61,30.43,54,150.09,9.0,06:07:00,18:38:00,2016-09-02 03:05:08
1472785805,9/1/2016 12:00:00 AM,17:10:05,136.33,60,30.43,56,30.91,2.25,06:07:00,18:38:00,2016-09-02 03:10:05
1472786108,9/1/2016 12:00:00 AM,17:15:08,128.31,60,30.43,59,7.77,2.25,06:07:00,18:38:00,2016-09-02 03:15:08
1472786405,9/1/2016 12:00:00 AM,17:20:05,117.46,59,30.43,60,62.22,1.12,06:07:00,18:38:00,2016-09-02 03:20:05
1472786704,9/1/2016 12:00:00 AM,17:25:04,107.07,59,30.43,58,94.85,5.62,06:07:00,18:38:00,2016-09-02 03:25:04
1472787009,9/1/2016 12:00:00 AM,17:30:09,92.85,59,30.44,57,94.26,1.12,06:07:00,18:38:00,2016-09-02 03:30:09
1472787612,9/1/2016 12:00:00 AM,17:40:12,80.18,58,30.44,56,123.45,7.87,06:07:00,18:38:00,2016-09-02 03:40:12
1472788208,9/1/2016 12:00:00 AM,17:50:08,52.13,58,30.44,56,58.72,4.5,06:07:00,18:38:00,2016-09-02 03:50:08
1472788508,9/1/2016 12:00:00 AM,17:55:08,46.79,58,30.44,56,65.06,3.37,06:07:00,18:38:00,2016-09-02 03:55:08
1472788807,9/1/2016 12:00:00 AM,18:00:07,28.36,58,30.44,57,39.39,2.25,06:07:00,18:38:00,2016-09-02 04:00:07
1472789104,9/1/2016 12:00:00 AM,18:05:04,16.63,58,30.44,54,76.68,2.25,06:07:00,18:38:00,2016-09-02 04:05:04
1472789409,9/1/2016 12:00:00 AM,18:10:09,13.08,57,30.44,55,111.12,3.37,06:07:00,18:38:00,2016-09-02 04:10:09
1472789709,9/1/2016 12:00:00 AM,18:15:09,11.66,57,30.44,57,125.58,4.5,06:07:00,18:38:00,2016-09-02 04:15:09
1472790003,9/1/2016 12:00:00 AM,18:20:03,9.45,57,30.44,59,141.64,4.5,06:07:00,18:38:00,2016-09-02 04:20:03
1472790306,9/1/2016 12:00:00 AM,18:25:06,11.46,57,30.44,59,152.66,4.5,06:07:00,18:38:00,2016-09-02 04:25:06
1472791204,9/1/2016 12:00:00 AM,18:40:04,5.78,56,30.44,59,109.7,2.25,06:07:00,18:38:00,2016-09-02 04:40:04
1472791505,9/1/2016 12:00:00 AM,18:45:05,4.22,56,30.44,59,115.38,6.75,06:07:00,18:38:00,2016-09-02 04:45:05
1472791806,9/1/2016 12:00:00 AM,18:50:06,2.51,56,30.44,61,142.83,3.37,06:07:00,18:38:00,2016-09-02 04:50:06
1472792406,9/1/2016 12:00:00 AM,19:00:06,2.77,55,30.45,63,145.28,4.5,06:07:00,18:38:00,2016-09-02 05:00:06
