UNIXTime,Data,Time,Temperature,Pressure,Humidity,WindDirection_Degrees,Speed,TimeSunRise,TimeSunSet
1474399804,9/20/2016 12:00:00 AM,09:30:04,60,30.42,67,60.35,5.62,06:11:00,18:21:00
1474399508,9/20/2016 12:00:00 AM,09:25:08,60,30.42,66,48.85,2.25,06:11:00,18:21:00
1474399207,9/20/2016 12:00:00 AM,09:20:07,60,30.42,67,3.51,5.62,06:11:00,18:21:00
1474398904,9/20/2016 12:00:00 AM,09:15:04,61,30.42,62,18.01,4.5,06:11:00,18:21:00
1474400702,9/20/2016 12:00:00 AM,09:45:02,60,30.42,68,358.22,2.25,06:11:00,18:21:00
1474398603,9/20/2016 12:00:00 AM,09:10:03,61,30.42,61,46.83,5.62,06:11:00,18:21:00
1474403407,9/20/2016 12:00:00 AM,10:30:07,61,30.43,66,13.18,7.87,06:11:00,18:21:00
1474404007,9/20/2016 12:00:00 AM,10:40:07,62,30.42,56,18.97,5.62,06:11:00,18:21:00
1474387804,9/20/2016 12:00:00 AM,06:10:04,47,30.4,39,159.52,5.62,06:11:00,18:21:00
1474407906,9/20/2016 12:00:00 AM,11:45:06,63,30.42,60,51.61,4.5,06:11:00,18:21:00
1474407604,9/20/2016 12:00:00 AM,11:40:04,63,30.42,56,43.39,3.37,06:11:00,18:21:00
1474407304,9/20/2016 12:00:00 AM,11:35:04,63,30.42,56,4.46,5.62,06:11:00,18:21:00
1474407007,9/20/2016 12:00:00 AM,11:30:07,63,30.42,54,76.29,3.37,06:11:00,18:21:00
1474406703,9/20/2016 12:00:00 AM,11:25:03,63,30.42,52,0.38,3.37,06:11:00,18:21:00
1474403707,9/20/2016 12:00:00 AM,10:35:07,61,30.43,60,9.3,3.37,06:11:00,18:21:00
1474406405,9/20/2016 12:00:00 AM,11:20:05,62,30.42,53,68.62,2.25,06:11:00,18:21:00
1474405803,9/20/2016 12:00:00 AM,11:10:03,62,30.42,64,46.66,4.5,06:11:00,18:21:00
1474405505,9/20/2016 12:00:00 AM,11:05:05,62,30.42,61,31.67,9.0,06:11:00,18:21:00
1474405210,9/20/2016 12:00:00 AM,11:00:10,62,30.42,60,350.45,5.62,06:11:00,18:21:00
1474404905,9/20/2016 12:00:00 AM,10:55:05,62,30.43,66,29.87,4.5,06:11:00,18:21:00
1474404605,9/20/2016 12:00:00 AM,10:50:05,62,30.42,63,36.73,5.62,06:11:00,18:21:00
1474404304,9/20/2016 12:00:00 AM,10:45:04,62,30.43,59,21.35,5.62,06:11:00,18:21:00
1474406103,9/20/2016 12:00:00 AM,11:15:03,62,30.42,63,27.07,5.62,06:11:00,18:21:00
1474398312,9/20/2016 12:00:00 AM,09:05:12,61,30.42,57,46.24,6.75,06:11:00,18:21:00
1474408204,9/20/2016 12:00:00 AM,11:50:04,63,30.42,52,24.46,4.5,06:11:00,18:21:00
1474408805,9/20/2016 12:00:00 AM,12:00:05,63,30.41,60,47.89,4.5,06:11:00,18:21:00
1474388402,9/20/2016 12:00:00 AM,06:20:02,47,30.4,40,139.37,3.37,06:11:00,18:21:00
1474388704,9/20/2016 12:00:00 AM,06:25:04,46,30.4,42,171.14,5.62,06:11:00,18:21:00
1474389006,9/20/2016 12:00:00 AM,06:30:06,46,30.4,41,172.93,6.75,06:11:00,18:21:00
1474389307,9/20/2016 12:00:00 AM,06:35:07,46,30.4,41,160.47,4.5,06:11:00,18:21:00
1474389612,9/20/2016 12:00:00 AM,06:40:12,46,30.4,40,168.28,4.5,06:11:00,18:21:00
1474389904,9/20/2016 12:00:00 AM,06:45:04,46,30.4,44,122.5,4.5,06:11:00,18:21:00
1474390204,9/20/2016 12:00:00 AM,06:50:04,47,30.4,50,106.48,4.5,06:11:00,18:21:00
1474390502,9/20/2016 12:00:00 AM,06:55:02,48,30.4,47,123.31,3.37,06:11:00,18:21:00
1474398009,9/20/2016 12:00:00 AM,09:00:09,62,30.42,56,46.17,4.5,06:11:00,18:21:00
1474391107,9/20/2016 12:00:00 AM,07:05:07,49,30.4,61,147.51,3.37,06:11:00,18:21:00
1474391405,9/20/2016 12:00:00 AM,07:10:05,50,30.4,56,133.49,4.5,06:11:00,18:21:00
1474391708,9/20/2016 12:00:00 AM,07:15:08,51,30.4,50,103.05,3.37,06:11:00,18:21:00
1474392002,9/20/2016 12:00:00 AM,07:20:02,52,30.4,43,135.77,2.25,06:11:00,18:21:00
1474392604,9/20/2016 12:00:00 AM,07:30:04,55,30.4,34,48.89,1.12,06:11:00,18:21:00
1474392906,9/20/2016 12:00:00 AM,07:35:06,56,30.41,32,88.36,3.37,06:11:00,18:21:00
1474392305,9/20/2016 12:00:00 AM,07:25:05,53,30.4,41,118.46,2.25,06:11:00,18:21:00
1474393506,9/20/2016 12:00:00 AM,07:45:06,57,30.41,53,52.77,4.5,06:11:00,18:21:00
1474397706,9/20/2016 12:00:00 AM,08:55:06,62,30.42,52,66.69,7.87,06:11:00,18:21:00
1474397404,9/20/2016 12:00:00 AM,08:50:04,62,30.42,25,45.38,3.37,06:11:00,18:21:00
1474397105,9/20/2016 12:00:00 AM,08:45:05,61,30.42,28,93.32,4.5,06:11:00,18:21:00
1474396805,9/20/2016 12:00:00 AM,08:40:05,61,30.42,37,51.33,1.12,06:11:00,18:21:00
1474393206,9/20/2016 12:00:00 AM,07:40:06,57,30.41,46,42.35,5.62,06:11:00,18:21:00
1474396203,9/20/2016 12:00:00 AM,08:30:03,60,30.42,38,47.31,4.5,06:11:00,18:21:00
1474395905,9/20/2016 12:00:00 AM,08:25:05,60,30.42,36,18.88,5.62,06:11:00,18:21:00
1474396508,9/20/2016 12:00:00 AM,08:35:08,60,30.42,37,91.09,1.12,06:11:00,18:21:00
1474395306,9/20/2016 12:00:00 AM,08:15:06,60,30.42,51,108.34,5.62,06:11:00,18:21:00
1474395004,9/20/2016 12:00:00 AM,08:10:04,59,30.42,39,77.1,3.37,06:11:00,18:21:00
1474394704,9/20/2016 12:00:00 AM,08:05:04,58,30.41,43,126.51,3.37,06:11:00,18:21:00
1474394403,9/20/2016 12:00:00 AM,08:00:03,57,30.41,50,104.02,1.12,06:11:00,18:21:00
1474394104,9/20/2016 12:00:00 AM,07:55:04,57,30.41,54,80.83,3.37,06:11:00,18:21:00
1474393802,9/20/2016 12:00:00 AM,07:50:02,57,30.41,57,149.07,4.5,06:11:00,18:21:00
1474395605,9/20/2016 12:00:00 AM,08:20:05,60,30.42,45,30.89,2.25,06:11:00,18:21:00
1474509619,9/21/2016 12:00:00 AM,16:00:19,58,30.38,78,357.68,3.37,06:11:00,18:20:00
1474511420,9/21/2016 12:00:00 AM,16:30:20,56,30.38,85,32.7,7.87,06:11:00,18:20:00
1474511120,9/21/2016 12:00:00 AM,16:25:20,56,30.38,84,42.48,9.0,06:11:00,18:20:00
1474510520,9/21/2016 12:00:00 AM,16:15:20,58,30.39,80,25.53,9.0,06:11:00,18:20:00
1474510219,9/21/2016 12:00:00 AM,16:10:19,58,30.39,78,21.42,9.0,06:11:00,18:20:00
1474509921,9/21/2016 12:00:00 AM,16:05:21,58,30.38,77,27.58,6.75,06:11:00,18:20:00
1474509318,9/21/2016 12:00:00 AM,15:55:18,58,30.38,79,348.19,2.25,06:11:00,18:20:00
1474516820,9/21/2016 12:00:00 AM,18:00:20,52,30.39,94,54.96,6.75,06:11:00,18:20:00
1474508718,9/21/2016 12:00:00 AM,15:45:18,60,30.38,74,1.3,7.87,06:11:00,18:20:00
1474508418,9/21/2016 12:00:00 AM,15:40:18,60,30.38,70,54.56,10.12,06:11:00,18:20:00
1474508123,9/21/2016 12:00:00 AM,15:35:23,60,30.38,72,19.04,5.62,06:11:00,18:20:00
1474507820,9/21/2016 12:00:00 AM,15:30:20,60,30.38,74,11.07,6.75,06:11:00,18:20:00
1474507521,9/21/2016 12:00:00 AM,15:25:21,60,30.38,74,14.21,9.0,06:11:00,18:20:00
1474507219,9/21/2016 12:00:00 AM,15:20:19,61,30.38,73,45.87,6.75,06:11:00,18:20:00
1474509023,9/21/2016 12:00:00 AM,15:50:23,59,30.38,79,54.11,11.25,06:11:00,18:20:00
1474511720,9/21/2016 12:00:00 AM,16:35:20,56,30.38,86,97.97,6.75,06:11:00,18:20:00
1474516518,9/21/2016 12:00:00 AM,17:55:18,52,30.39,94,72.03,2.25,06:11:00,18:20:00
1474512319,9/21/2016 12:00:00 AM,16:45:19,55,30.38,89,38.12,2.25,06:11:00,18:20:00
1474506923,9/21/2016 12:00:00 AM,15:15:23,61,30.38,73,18.29,6.75,06:11:00,18:20:00
1474516222,9/21/2016 12:00:00 AM,17:50:22,52,30.39,93,75.71,6.75,06:11:00,18:20:00
1474515921,9/21/2016 12:00:00 AM,17:45:21,52,30.39,93,0.82,2.25,06:11:00,18:20:00
1474515620,9/21/2016 12:00:00 AM,17:40:20,53,30.39,93,74.36,4.5,06:11:00,18:20:00
1474515325,9/21/2016 12:00:00 AM,17:35:25,53,30.39,93,49.75,2.25,06:11:00,18:20:00
1474515020,9/21/2016 12:00:00 AM,17:30:20,53,30.39,92,8.78,4.5,06:11:00,18:20:00
1474512022,9/21/2016 12:00:00 AM,16:40:22,55,30.38,87,55.6,4.5,06:11:00,18:20:00
1474514718,9/21/2016 12:00:00 AM,17:25:18,53,30.39,92,38.33,6.75,06:11:00,18:20:00
1474514121,9/21/2016 12:00:00 AM,17:15:21,53,30.39,92,53.07,10.12,06:11:00,18:20:00
1474513820,9/21/2016 12:00:00 AM,17:10:20,53,30.39,92,77.5,4.5,06:11:00,18:20:00
1474513518,9/21/2016 12:00:00 AM,17:05:18,53,30.39,92,29.22,9.0,06:11:00,18:20:00
1474513219,9/21/2016 12:00:00 AM,17:00:19,54,30.38,91,40.71,7.87,06:11:00,18:20:00
1474512923,9/21/2016 12:00:00 AM,16:55:23,54,30.38,91,10.31,5.62,06:11:00,18:20:00
1474512618,9/21/2016 12:00:00 AM,16:50:18,54,30.38,90,24.35,7.87,06:11:00,18:20:00
1474514420,9/21/2016 12:00:00 AM,17:20:20,53,30.39,92,44.25,3.37,06:11:00,18:20:00
1474506624,9/21/2016 12:00:00 AM,15:10:24,61,30.38,74,58.11,5.62,06:11:00,18:20:00
1474501219,9/21/2016 12:00:00 AM,13:40:19,60,30.39,80,21.97,3.37,06:11:00,18:20:00
1474506021,9/21/2016 12:00:00 AM,15:00:21,60,30.38,75,359.92,2.25,06:11:00,18:20:00
1474496121,9/21/2016 12:00:00 AM,12:15:21,57,30.41,87,359.65,6.75,06:11:00,18:20:00
1474496423,9/21/2016 12:00:00 AM,12:20:23,58,30.41,85,53.97,5.62,06:11:00,18:20:00
1474496720,9/21/2016 12:00:00 AM,12:25:20,59,30.41,83,107.91,3.37,06:11:00,18:20:00
1474497021,9/21/2016 12:00:00 AM,12:30:21,59,30.41,84,327.3,5.62,06:11:00,18:20:00
1474497322,9/21/2016 12:00:00 AM,12:35:22,58,30.41,84,336.49,5.62,06:11:00,18:20:00
1474497621,9/21/2016 12:00:00 AM,12:40:21,59,30.41,83,24.81,5.62,06:11:00,18:20:00
1474497920,9/21/2016 12:00:00 AM,12:45:20,59,30.41,82,351.92,5.62,06:11:00,18:20:00
1474498222,9/21/2016 12:00:00 AM,12:50:22,59,30.41,81,12.94,10.12,06:11:00,18:20:00
1474498522,9/21/2016 12:00:00 AM,12:55:22,59,30.4,81,30.1,7.87,06:11:00,18:20:00
1474498825,9/21/2016 12:00:00 AM,13:00:25,59,30.4,80,21.4,7.87,06:11:00,18:20:00
1474499123,9/21/2016 12:00:00 AM,13:05:23,60,30.4,79,32.01,10.12,06:11:00,18:20:00
1474499420,9/21/2016 12:00:00 AM,13:10:20,60,30.4,80,10.71,3.37,06:11:00,18:20:00
1474499721,9/21/2016 12:00:00 AM,13:15:21,60,30.4,78,0.11,7.87,06:11:00,18:20:00
1474500024,9/21/2016 12:00:00 AM,13:20:24,60,30.4,78,26.11,9.0,06:11:00,18:20:00
1474500324,9/21/2016 12:00:00 AM,13:25:24,60,30.4,77,0.11,7.87,06:11:00,18:20:00
1474500619,9/21/2016 12:00:00 AM,13:30:19,60,30.4,80,36.89,9.0,06:11:00,18:20:00
1474500918,9/21/2016 12:00:00 AM,13:35:18,60,30.4,80,65.33,7.87,06:11:00,18:20:00
1474505721,9/21/2016 12:00:00 AM,14:55:21,60,30.38,78,105.37,4.5,06:11:00,18:20:00
1474505419,9/21/2016 12:00:00 AM,14:50:19,59,30.38,78,69.7,9.0,06:11:00,18:20:00
1474505119,9/21/2016 12:00:00 AM,14:45:19,59,30.38,77,57.16,4.5,06:11:00,18:20:00
1474504820,9/21/2016 12:00:00 AM,14:40:20,59,30.39,78,0.23,3.37,06:11:00,18:20:00
1474504522,9/21/2016 12:00:00 AM,14:35:22,59,30.39,80,50.64,2.25,06:11:00,18:20:00
1474504222,9/21/2016 12:00:00 AM,14:30:22,59,30.39,79,33.68,11.25,06:11:00,18:20:00
1474506323,9/21/2016 12:00:00 AM,15:05:23,61,30.38,75,84.44,2.25,06:11:00,18:20:00
1474503619,9/21/2016 12:00:00 AM,14:20:19,60,30.39,78,1.75,4.5,06:11:00,18:20:00
1474503022,9/21/2016 12:00:00 AM,14:10:22,60,30.39,82,56.06,7.87,06:11:00,18:20:00
1474502724,9/21/2016 12:00:00 AM,14:05:24,60,30.39,83,1.13,7.87,06:11:00,18:20:00
1474502421,9/21/2016 12:00:00 AM,14:00:21,60,30.39,85,45.34,6.75,06:11:00,18:20:00
1474502119,9/21/2016 12:00:00 AM,13:55:19,60,30.39,80,1.1,7.87,06:11:00,18:20:00
1474501822,9/21/2016 12:00:00 AM,13:50:22,60,30.39,80,3.23,6.75,06:11:00,18:20:00
1474501521,9/21/2016 12:00:00 AM,13:45:21,60,30.39,81,31.34,10.12,06:11:00,18:20:00
1474503320,9/21/2016 12:00:00 AM,14:15:20,60,30.39,80,48.47,11.25,06:11:00,18:20:00
1474517119,9/21/2016 12:00:00 AM,18:05:19,52,30.39,94,56.24,3.37,06:11:00,18:20:00
1474538119,9/21/2016 12:00:00 AM,23:55:19,50,30.41,98,147.05,10.12,06:11:00,18:20:00
1474517719,9/21/2016 12:00:00 AM,18:15:19,52,30.39,94,102.48,3.37,06:11:00,18:20:00
1474532722,9/21/2016 12:00:00 AM,22:25:22,49,30.42,82,123.6,4.5,06:11:00,18:20:00
1474532421,9/21/2016 12:00:00 AM,22:20:21,49,30.42,84,156.21,9.0,06:11:00,18:20:00
1474532121,9/21/2016 12:00:00 AM,22:15:21,49,30.42,87,161.54,9.0,06:11:00,18:20:00
1474531822,9/21/2016 12:00:00 AM,22:10:22,49,30.42,87,137.19,10.12,06:11:00,18:20:00
1474531521,9/21/2016 12:00:00 AM,22:05:21,49,30.42,89,146.34,6.75,06:11:00,18:20:00
1474531222,9/21/2016 12:00:00 AM,22:00:22,49,30.42,91,132.21,2.25,06:11:00,18:20:00
1474533020,9/21/2016 12:00:00 AM,22:30:20,49,30.42,76,168.62,3.37,06:11:00,18:20:00
1474530920,9/21/2016 12:00:00 AM,21:55:20,50,30.42,94,132.67,9.0,06:11:00,18:20:00
1474530324,9/21/2016 12:00:00 AM,21:45:24,50,30.42,93,136.44,9.0,06:11:00,18:20:00
1474530021,9/21/2016 12:00:00 AM,21:40:21,50,30.42,92,87.91,9.0,06:11:00,18:20:00
1474529722,9/21/2016 12:00:00 AM,21:35:22,50,30.42,92,119.85,9.0,06:11:00,18:20:00
1474529425,9/21/2016 12:00:00 AM,21:30:25,50,30.42,92,123.26,6.75,06:11:00,18:20:00
1474529118,9/21/2016 12:00:00 AM,21:25:18,50,30.42,93,105.48,6.75,06:11:00,18:20:00
1474528820,9/21/2016 12:00:00 AM,21:20:20,50,30.42,93,105.54,9.0,06:11:00,18:20:00
1474530622,9/21/2016 12:00:00 AM,21:50:22,50,30.42,93,84.27,5.62,06:11:00,18:20:00
1474528522,9/21/2016 12:00:00 AM,21:15:22,50,30.42,93,110.36,9.0,06:11:00,18:20:00
1474533320,9/21/2016 12:00:00 AM,22:35:20,49,30.42,73,163.19,7.87,06:11:00,18:20:00
1474533920,9/21/2016 12:00:00 AM,22:45:20,49,30.42,78,170.39,6.75,06:11:00,18:20:00
1474495821,9/21/2016 12:00:00 AM,12:10:21,57,30.41,90,43.83,9.0,06:11:00,18:20:00
1474537819,9/21/2016 12:00:00 AM,23:50:19,50,30.41,97,157.38,1.12,06:11:00,18:20:00
1474537525,9/21/2016 12:00:00 AM,23:45:25,50,30.41,97,157.11,5.62,06:11:00,18:20:00
1474537221,9/21/2016 12:00:00 AM,23:40:21,50,30.41,97,119.04,11.25,06:11:00,18:20:00
1474536918,9/21/2016 12:00:00 AM,23:35:18,50,30.41,97,145.34,6.75,06:11:00,18:20:00
1474536619,9/21/2016 12:00:00 AM,23:30:19,50,30.41,97,128.75,7.87,06:11:00,18:20:00
1474533619,9/21/2016 12:00:00 AM,22:40:19,49,30.42,75,160.51,6.75,06:11:00,18:20:00
1474536322,9/21/2016 12:00:00 AM,23:25:22,50,30.41,96,162.53,7.87,06:11:00,18:20:00
1474535721,9/21/2016 12:00:00 AM,23:15:21,49,30.41,95,176.53,12.37,06:11:00,18:20:00
1474535418,9/21/2016 12:00:00 AM,23:10:18,49,30.41,94,156.89,4.5,06:11:00,18:20:00
1474535122,9/21/2016 12:00:00 AM,23:05:22,49,30.41,92,164.48,9.0,06:11:00,18:20:00
1474534823,9/21/2016 12:00:00 AM,23:00:23,49,30.41,90,162.42,7.87,06:11:00,18:20:00
1474534522,9/21/2016 12:00:00 AM,22:55:22,49,30.41,87,156.37,9.0,06:11:00,18:20:00
1474534218,9/21/2016 12:00:00 AM,22:50:18,49,30.41,81,112.27,4.5,06:11:00,18:20:00
1474536023,9/21/2016 12:00:00 AM,23:20:23,50,30.41,96,135.68,7.87,06:11:00,18:20:00
1474517422,9/21/2016 12:00:00 AM,18:10:22,52,30.39,93,85.88,3.37,06:11:00,18:20:00
1474528226,9/21/2016 12:00:00 AM,21:10:26,50,30.42,92,96.81,7.87,06:11:00,18:20:00
1474527619,9/21/2016 12:00:00 AM,21:00:19,51,30.42,92,202.79,5.62,06:11:00,18:20:00
1474521920,9/21/2016 12:00:00 AM,19:25:20,53,30.4,74,99.32,4.5,06:11:00,18:20:00
1474521620,9/21/2016 12:00:00 AM,19:20:20,52,30.4,59,124.85,5.62,06:11:00,18:20:00
1474521323,9/21/2016 12:00:00 AM,19:15:23,52,30.4,63,118.86,9.0,06:11:00,18:20:00
1474521020,9/21/2016 12:00:00 AM,19:10:20,52,30.4,58,147.25,5.62,06:11:00,18:20:00
1474520720,9/21/2016 12:00:00 AM,19:05:20,51,30.4,66,119.45,7.87,06:11:00,18:20:00
1474520418,9/21/2016 12:00:00 AM,19:00:18,51,30.4,82,133.28,7.87,06:11:00,18:20:00
1474522220,9/21/2016 12:00:00 AM,19:30:20,52,30.4,74,46.98,6.75,06:11:00,18:20:00
1474520123,9/21/2016 12:00:00 AM,18:55:23,51,30.39,92,158.74,9.0,06:11:00,18:20:00
1474519518,9/21/2016 12:00:00 AM,18:45:18,51,30.39,94,75.94,3.37,06:11:00,18:20:00
1474519219,9/21/2016 12:00:00 AM,18:40:19,51,30.39,95,150.09,1.12,06:11:00,18:20:00
1474518919,9/21/2016 12:00:00 AM,18:35:19,51,30.39,95,131.88,4.5,06:11:00,18:20:00
1474518622,9/21/2016 12:00:00 AM,18:30:22,51,30.39,96,101.58,5.62,06:11:00,18:20:00
1474518322,9/21/2016 12:00:00 AM,18:25:22,51,30.39,96,52.32,5.62,06:11:00,18:20:00
1474518020,9/21/2016 12:00:00 AM,18:20:20,51,30.39,95,69.03,6.75,06:11:00,18:20:00
1474519818,9/21/2016 12:00:00 AM,18:50:18,51,30.39,93,65.97,4.5,06:11:00,18:20:00
1474527918,9/21/2016 12:00:00 AM,21:05:18,51,30.42,92,95.34,7.87,06:11:00,18:20:00
1474522520,9/21/2016 12:00:00 AM,19:35:20,52,30.4,70,67.98,4.5,06:11:00,18:20:00
1474523119,9/21/2016 12:00:00 AM,19:45:19,52,30.4,75,161.86,5.62,06:11:00,18:20:00
1474527320,9/21/2016 12:00:00 AM,20:55:20,51,30.42,92,183.47,4.5,06:11:00,18:20:00
1474527018,9/21/2016 12:00:00 AM,20:50:18,51,30.42,92,141.52,5.62,06:11:00,18:20:00
1474526722,9/21/2016 12:00:00 AM,20:45:22,51,30.41,91,110.24,6.75,06:11:00,18:20:00
1474526424,9/21/2016 12:00:00 AM,20:40:24,51,30.41,91,129.7,5.62,06:11:00,18:20:00
1474526127,9/21/2016 12:00:00 AM,20:35:27,50,30.41,91,124.0,5.62,06:11:00,18:20:00
1474525822,9/21/2016 12:00:00 AM,20:30:22,50,30.41,90,117.33,4.5,06:11:00,18:20:00
1474522821,9/21/2016 12:00:00 AM,19:40:21,52,30.4,73,61.17,5.62,06:11:00,18:20:00
1474525520,9/21/2016 12:00:00 AM,20:25:20,51,30.41,90,168.48,7.87,06:11:00,18:20:00
1474524920,9/21/2016 12:00:00 AM,20:15:20,51,30.41,87,96.22,5.62,06:11:00,18:20:00
1474524622,9/21/2016 12:00:00 AM,20:10:22,51,30.41,86,57.34,6.75,06:11:00,18:20:00
1474524321,9/21/2016 12:00:00 AM,20:05:21,51,30.41,84,145.84,6.75,06:11:00,18:20:00
1474524020,9/21/2016 12:00:00 AM,20:00:20,51,30.41,81,128.14,7.87,06:11:00,18:20:00
1474523723,9/21/2016 12:00:00 AM,19:55:23,51,30.41,80,145.26,4.5,06:11:00,18:20:00
1474523421,9/21/2016 12:00:00 AM,19:50:21,51,30.4,78,137.43,10.12,06:11:00,18:20:00
1474525221,9/21/2016 12:00:00 AM,20:20:21,51,30.41,89,136.02,10.12,06:11:00,18:20:00
1474495520,9/21/2016 12:00:00 AM,12:05:20,58,30.42,89,13.01,4.5,06:11:00,18:20:00
1474495221,9/21/2016 12:00:00 AM,12:00:21,57,30.42,89,11.98,2.25,06:11:00,18:20:00
1474494923,9/21/2016 12:00:00 AM,11:55:23,58,30.42,93,20.73,5.62,06:11:00,18:20:00
1474463709,9/21/2016 12:00:00 AM,03:15:09,44,30.38,90,151.24,9.0,06:11:00,18:20:00
1474464004,9/21/2016 12:00:00 AM,03:20:04,45,30.38,92,110.13,7.87,06:11:00,18:20:00
1474464307,9/21/2016 12:00:00 AM,03:25:07,45,30.38,91,172.1,7.87,06:11:00,18:20:00
1474464606,9/21/2016 12:00:00 AM,03:30:06,45,30.38,90,139.29,10.12,06:11:00,18:20:00
1474464906,9/21/2016 12:00:00 AM,03:35:06,45,30.37,92,167.58,6.75,06:11:00,18:20:00
1474465204,9/21/2016 12:00:00 AM,03:40:04,45,30.37,92,172.86,7.87,06:11:00,18:20:00
1474465513,9/21/2016 12:00:00 AM,03:45:13,45,30.37,90,160.58,6.75,06:11:00,18:20:00
1474465803,9/21/2016 12:00:00 AM,03:50:03,45,30.37,84,132.85,6.75,06:11:00,18:20:00
1474466105,9/21/2016 12:00:00 AM,03:55:05,45,30.37,80,160.5,7.87,06:11:00,18:20:00
1474466405,9/21/2016 12:00:00 AM,04:00:05,45,30.37,79,169.06,6.75,06:11:00,18:20:00
1474466704,9/21/2016 12:00:00 AM,04:05:04,45,30.37,79,144.69,5.62,06:11:00,18:20:00
1474467004,9/21/2016 12:00:00 AM,04:10:04,45,30.37,82,157.61,4.5,06:11:00,18:20:00
1474467304,9/21/2016 12:00:00 AM,04:15:04,45,30.37,84,146.45,5.62,06:11:00,18:20:00
1474467605,9/21/2016 12:00:00 AM,04:20:05,45,30.37,84,172.54,5.62,06:11:00,18:20:00
1474467904,9/21/2016 12:00:00 AM,04:25:04,45,30.37,85,144.88,11.25,06:11:00,18:20:00
1474468205,9/21/2016 12:00:00 AM,04:30:05,45,30.37,88,138.52,12.37,06:11:00,18:20:00
1474468507,9/21/2016 12:00:00 AM,04:35:07,46,30.37,90,172.24,7.87,06:11:00,18:20:00
1474472707,9/21/2016 12:00:00 AM,05:45:07,46,30.39,99,163.62,6.75,06:11:00,18:20:00
1474472402,9/21/2016 12:00:00 AM,05:40:02,46,30.39,99,176.75,6.75,06:11:00,18:20:00
1474472103,9/21/2016 12:00:00 AM,05:35:03,46,30.39,98,136.0,6.75,06:11:00,18:20:00
1474471804,9/21/2016 12:00:00 AM,05:30:04,46,30.39,98,169.82,6.75,06:11:00,18:20:00
1474471506,9/21/2016 12:00:00 AM,05:25:06,47,30.39,98,157.24,4.5,06:11:00,18:20:00
1474471203,9/21/2016 12:00:00 AM,05:20:03,47,30.39,98,143.45,3.37,06:11:00,18:20:00
1474463405,9/21/2016 12:00:00 AM,03:10:05,44,30.38,89,194.43,4.5,06:11:00,18:20:00
1474470905,9/21/2016 12:00:00 AM,05:15:05,47,30.38,97,139.12,6.75,06:11:00,18:20:00
